timestamp,miner_name,miner_ip,hashrate_gh,hashrate_th,power_w,efficiency_jth,temperature_c,vr_temperature_c,fan_speed_rpm,voltage_v,input_voltage_v,frequency_mhz,best_diff,session_diff,accepted_shares,rejected_shares,uptime_s,wifi_rssi,pool_url,worker_name,asic_model,board_version,firmware_version,status
2025-05-29T19:58:05.101669,Gamma-1,192.168.1.45,1209.917266728313,1.2099172667283131,20.889617919921875,17.265327551204077,59.5,59,3411,1.133,4.8984375,620,0,0,232,0,811,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:58:05.102668,Gamma-2,192.168.1.46,1286.271412805599,1.286271412805599,20.772705078125,16.149550453598156,59.5,59,3701,1.13,5.0625,620,0,0,233,0,756,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:58:05.103667,Gamma-3,192.168.1.47,1544.177882129361,1.544177882129361,18.658203125,12.08293639024998,60.125,54,2617,1.131,5.1015625,620,0,0,201,0,704,-58,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:59:05.349760,Gamma-1,192.168.1.45,1297.3969965366493,1.2973969965366494,20.925689697265625,16.128979605414486,60,59,3721,1.136,4.890625,620,0,0,251,0,872,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:59:05.350759,Gamma-2,192.168.1.46,1383.0966445977842,1.3830966445977841,20.86273193359375,15.084073853465824,60,59,3848,1.129,5.0625,620,0,0,254,0,816,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:59:05.352758,Gamma-3,192.168.1.47,1478.1001417269351,1.478100141726935,18.6943359375,12.647543566066176,60,54,2627,1.133,5.1015625,620,0,0,223,0,764,-57,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T20:00:05.591024,Gamma-1,192.168.1.45,1413.1985180730767,1.4131985180730766,20.7994384765625,14.717987749465612,59.5,59,3527,1.133,4.8984375,620,0,0,274,0,932,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T20:00:05.592024,Gamma-2,192.168.1.46,1376.255579000173,1.376255579000173,20.772705078125,15.09363914311325,59.75,59,3805,1.126,5.0625,620,0,0,274,0,877,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T20:00:05.593025,Gamma-3,192.168.1.47,1222.4210845657033,1.2224210845657033,18.60400390625,15.21898152866003,60,54,2612,1.134,5.1015625,620,0,0,243,0,825,-55,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T20:01:06.633996,Gamma-1,192.168.1.45,1393.1321789194317,1.3931321789194318,20.889617919921875,14.994713521099403,60.25,59,3721,1.132,4.890625,620,0,0,295,0,993,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
